descricao_produto_preco_minimo;id_produto;uf;regionalizacao;ano_inicio_vigencia;mes_incio_vigencia;ano_termino_vigencia;mes_termino_vigencia;preco;dsc_unidade_comercializacao;nome_normativo;url
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;PA;PA             ;2021;01;2021;12;1.24;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;PA;PA             ;2022;01;2022;12;1.56;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;PA;PA             ;2023;01;2023;12;1.92;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;PA;PA             ;2024;01;2024;12;2.63;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RO;RO             ;2018;01;2018;12;1.16;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RO;RO             ;2019;01;2019;12;1.29;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RO;RO             ;2020;01;2020;12;1.24;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RO;RO             ;2021;01;2021;12;1.24;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RO;RO             ;2022;01;2022;12;1.56;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RO;RO             ;2023;01;2023;12;1.92;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RO;RO             ;2024;01;2024;12;2.63;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RR;RR             ;2018;01;2018;12;1.16;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RR;RR             ;2019;01;2019;12;1.29;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RR;RR             ;2020;01;2020;12;1.24;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RR;RR             ;2021;01;2021;12;1.24;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RR;RR             ;2022;01;2022;12;1.56;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RR;RR             ;2023;01;2023;12;1.92;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;RR;RR             ;2024;01;2024;12;2.63;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;TO;TO             ;2018;01;2018;12;1.16;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;TO;TO             ;2019;01;2019;12;1.29;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;TO;TO             ;2020;01;2020;12;1.24;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;TO;TO             ;2021;01;2021;12;1.24;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;TO;TO             ;2022;01;2022;12;1.56;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;TO;TO             ;2023;01;2023;12;1.92;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
BURITI (FRUTO) - PRODUTO EXTRATIVO      ;11117;TO;TO             ;2024;01;2024;12;2.63;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AC;AC             ;2014;07;2015;06;5.54;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AC;AC             ;2015;07;2016;06;5.54;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AC;AC             ;2020;01;2020;12;7.79;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AC;AC             ;2021;01;2021;12;7.79;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AC;AC             ;2022;01;2022;12;9.12;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AC;AC             ;2023;01;2023;12;9.33;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AC;AC             ;2024;01;2024;12;9.75;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2014;07;2015;06;5.54;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2015;07;2016;06;5.54;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2016;07;2017;06;6.22;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2017;07;2017;12;6.22;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2018;01;2018;12;7.24;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2019;01;2019;12;7.57;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2020;01;2020;12;7.79;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2021;01;2021;12;7.79;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2022;01;2022;12;9.12;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2023;01;2023;12;9.33;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AM;AM             ;2024;01;2024;12;9.75;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AP;AP             ;2014;07;2015;06;5.54;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AP;AP             ;2015;07;2016;06;5.54;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AP;AP             ;2018;01;2018;12;7.24;kg                                                          ;PORTARIA Nº 14, DE 3 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AP;AP             ;2019;01;2019;12;7.57;kg                                                          ;PORTARIA Nº 141 DE 8 DE JANEIR;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AP;AP             ;2020;01;2020;12;7.79;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AP;AP             ;2021;01;2021;12;7.79;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AP;AP             ;2022;01;2022;12;9.12;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AP;AP             ;2023;01;2023;12;9.33;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;AP;AP             ;2024;01;2024;12;9.75;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;PA;PA             ;2014;07;2015;06;5.54;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;PA;PA             ;2015;07;2016;06;5.54;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;PA;PA             ;2020;01;2020;12;7.79;kg                                                          ;PORTARIA Nº 313, DE 30 DE DEZE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;PA;PA             ;2021;01;2021;12;7.79;kg                                                          ;PREÇOS MÍNIMOS DOS PRODUTOS DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;PA;PA             ;2022;01;2022;12;9.12;kg                                                          ;PORTARIA MAPA Nº 376, DE 22 DE;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;PA;PA             ;2023;01;2023;12;9.33;kg                                                          ;PORTARIA MAPA Nº 534, DE 19 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932
CACAU AMÊNDOA - PRODUTO EXTRATIVO       ;11331;PA;PA             ;2024;01;2024;12;9.75;kg                                                          ;PORTARIA MDA Nº 41, DE 29 DE D;https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2014;07;2015;06;5.54;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2015;07;2016;06;4.74;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2016;07;2017;06;5.07;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2017;07;2018;06;5.45;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2018;07;2019;06;5.94;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2019;07;2020;06;5.11;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_135.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2020;07;2021;06;7.39;kg                                                          ;PORTARIA Nº 190, DE 9 DE JUNHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2021;07;2022;06;9.14;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2022;07;2023;06;12.99;kg                                                          ;PORTARIA MAPA Nº 452, DE 4 DE ;https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2023;07;2024;06;13.05;kg                                                          ;PORTARIA MAPA Nº 595, DE 4 DE ;https://www.in.gov.br/web/dou/-/portaria-mapa-n-595-de-4-de-julho-de-2023-494540705
CACAU CULTIVADO (AMÊNDOA)               ;9930;AC;AC             ;2024;07;2025;06;14.97;kg                                                          ;PORTARIA MAPA Nº 700, DE 15 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2014;07;2015;06;5.59;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2015;07;2016;06;5.59;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2016;07;2017;06;5.77;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2017;07;2018;06;6.48;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2018;07;2019;06;7.3;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2019;07;2020;06;8.37;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_135.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2020;07;2021;06;7.39;kg                                                          ;PORTARIA Nº 190, DE 9 DE JUNHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2021;07;2022;06;9.14;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2022;07;2023;06;12.99;kg                                                          ;PORTARIA MAPA Nº 452, DE 4 DE ;https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2023;07;2024;06;16.1;kg                                                          ;PORTARIA MAPA Nº 595, DE 4 DE ;https://www.in.gov.br/web/dou/-/portaria-mapa-n-595-de-4-de-julho-de-2023-494540705
CACAU CULTIVADO (AMÊNDOA)               ;9930;AL;AL             ;2024;07;2025;06;15.37;kg                                                          ;PORTARIA MAPA Nº 700, DE 15 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2014;07;2015;06;4.74;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2015;07;2016;06;4.74;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2016;07;2017;06;5.07;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2017;07;2018;06;5.45;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2018;07;2019;06;5.94;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2019;07;2020;06;5.11;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_135.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2020;07;2021;06;7.39;kg                                                          ;PORTARIA Nº 190, DE 9 DE JUNHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2021;07;2022;06;9.14;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2022;07;2023;06;12.99;kg                                                          ;PORTARIA MAPA Nº 452, DE 4 DE ;https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2023;07;2024;06;13.05;kg                                                          ;PORTARIA MAPA Nº 595, DE 4 DE ;https://www.in.gov.br/web/dou/-/portaria-mapa-n-595-de-4-de-julho-de-2023-494540705
CACAU CULTIVADO (AMÊNDOA)               ;9930;AM;AM             ;2024;07;2025;06;14.97;kg                                                          ;PORTARIA MAPA Nº 700, DE 15 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2014;07;2015;06;4.74;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2015;07;2016;06;4.74;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2016;07;2017;06;5.07;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2017;07;2018;06;5.45;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2018;07;2019;06;5.94;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2019;07;2020;06;5.11;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_135.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2020;07;2021;06;7.39;kg                                                          ;PORTARIA Nº 190, DE 9 DE JUNHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2021;07;2022;06;9.14;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2022;07;2023;06;12.99;kg                                                          ;PORTARIA MAPA Nº 452, DE 4 DE ;https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2023;07;2024;06;13.05;kg                                                          ;PORTARIA MAPA Nº 595, DE 4 DE ;https://www.in.gov.br/web/dou/-/portaria-mapa-n-595-de-4-de-julho-de-2023-494540705
CACAU CULTIVADO (AMÊNDOA)               ;9930;AP;AP             ;2024;07;2025;06;14.97;kg                                                          ;PORTARIA MAPA Nº 700, DE 15 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2014;07;2015;06;5.59;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2015;07;2016;06;5.59;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2016;07;2017;06;5.77;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2017;07;2018;06;6.48;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2018;07;2019;06;7.3;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2019;07;2020;06;8.37;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_135.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2020;07;2021;06;7.39;kg                                                          ;PORTARIA Nº 190, DE 9 DE JUNHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2021;07;2022;06;9.14;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2022;07;2023;06;12.99;kg                                                          ;PORTARIA MAPA Nº 452, DE 4 DE ;https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2023;07;2024;06;16.1;kg                                                          ;PORTARIA MAPA Nº 595, DE 4 DE ;https://www.in.gov.br/web/dou/-/portaria-mapa-n-595-de-4-de-julho-de-2023-494540705
CACAU CULTIVADO (AMÊNDOA)               ;9930;BA;BA             ;2024;07;2025;06;15.37;kg                                                          ;PORTARIA MAPA Nº 700, DE 15 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980
